date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:50:15	68/68	---M-Z	200	added ('OK')	text/javascript	etag:W/%2283-1714483262524%22	https://www.spikejones.org/_app/immutable/entry/start.DHjxv78O.js	C:/My%20Web%20Sites/spikejones.org/www.spikejones.org/_app/immutable/entry/start.DHjxv78O.js	(from https://www.spikejones.org/)
09:50:15	8169/8169	---M-Z	200	added ('OK')	text/javascript	etag:W/%223094-1714483262524%22	https://www.spikejones.org/_app/immutable/entry/app.ClFvYph1.js	C:/My%20Web%20Sites/spikejones.org/www.spikejones.org/_app/immutable/entry/app.ClFvYph1.js	(from https://www.spikejones.org/)
09:50:16	316584/316584	---M--	200	added ('OK')	font/ttf	etag:W/%22316584-1714483261784%22	https://www.spikejones.org/fonts/Inter-Bold.ttf	C:/My%20Web%20Sites/spikejones.org/www.spikejones.org/fonts/Inter-Bold.ttf	(from https://www.spikejones.org/_app/immutable/assets/0.DSytH8V8.css)
09:50:16	310252/310252	---M--	200	added ('OK')	font/ttf	etag:W/%22310252-1714483261784%22	https://www.spikejones.org/fonts/Inter-Regular.ttf	C:/My%20Web%20Sites/spikejones.org/www.spikejones.org/fonts/Inter-Regular.ttf	(from https://www.spikejones.org/_app/immutable/assets/0.DSytH8V8.css)
09:50:16	198120/198120	---M--	200	added ('OK')	font/ttf	etag:W/%22198120-1714483261784%22	https://www.spikejones.org/fonts/Montserrat-Bold.ttf	C:/My%20Web%20Sites/spikejones.org/www.spikejones.org/fonts/Montserrat-Bold.ttf	(from https://www.spikejones.org/_app/immutable/assets/0.DSytH8V8.css)
09:50:16	197716/197716	---M--	200	added ('OK')	font/ttf	etag:W/%22197716-1714483261784%22	https://www.spikejones.org/fonts/Montserrat-Light.ttf	C:/My%20Web%20Sites/spikejones.org/www.spikejones.org/fonts/Montserrat-Light.ttf	(from https://www.spikejones.org/_app/immutable/assets/0.DSytH8V8.css)
09:50:17	197624/197624	---M--	200	added ('OK')	font/ttf	etag:W/%22197624-1714483261784%22	https://www.spikejones.org/fonts/Montserrat-Regular.ttf	C:/My%20Web%20Sites/spikejones.org/www.spikejones.org/fonts/Montserrat-Regular.ttf	(from https://www.spikejones.org/_app/immutable/assets/0.DSytH8V8.css)
09:50:17	1783/1783	---M-Z	200	added ('OK')	text/css	etag:W/%22587-1714483262516%22	https://www.spikejones.org/_app/immutable/assets/4.Cf5DHDlN.css	C:/My%20Web%20Sites/spikejones.org/www.spikejones.org/_app/immutable/assets/4.Cf5DHDlN.css	(from https://www.spikejones.org/biography)
09:50:17	76992/76992	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2004%20Feb%202025%2016:50:17%20GMT	https://admin.spikejones.org/api/media/timeline_images/Image.jpg	C:/My%20Web%20Sites/spikejones.org/admin.spikejones.org/api/media/timeline_images/Image.jpg	(from https://www.spikejones.org/biography)
09:50:18	1229/1229	---M-Z	200	added ('OK')	text/css	etag:W/%22488-1714483262516%22	https://www.spikejones.org/_app/immutable/assets/3.43zuc-Gp.css	C:/My%20Web%20Sites/spikejones.org/www.spikejones.org/_app/immutable/assets/3.43zuc-Gp.css	(from https://www.spikejones.org/about)
09:50:18	27564/27564	---M--	200	added ('OK')	image/jpeg	etag:W/%2227564-1714483261788%22	https://www.spikejones.org/images/about_spike.jpg	C:/My%20Web%20Sites/spikejones.org/www.spikejones.org/images/about_spike.jpg	(from https://www.spikejones.org/about)
09:50:18	1459/1459	---M-Z	200	added ('OK')	text/css	etag:W/%22545-1714483262516%22	https://www.spikejones.org/_app/immutable/assets/5.BQtDqsrX.css	C:/My%20Web%20Sites/spikejones.org/www.spikejones.org/_app/immutable/assets/5.BQtDqsrX.css	(from https://www.spikejones.org/get-involved)
